Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
8;V00991;ENTRAINEMENT;ALTERNATEUR;94320;THIAIS;05/10/2017;181.86;9.09
8;V00572;27;;95650;PUISEUX PONTOISE;25/03/2015;17.39;20.64
1;V00208;VITRAGE;DIVERS VITRAGE 0;78700;CONFLANS STE HONORIN;01/12/2016;471.28;42.21
7;V00676;ECHAPPEMENT;ACCESSOIRES DE MONTAGE;95520;OSNY;13/01/2015;-5.93;51.43
5;V00411;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;24/09/2016;65.31;36.93
7;V00676;FREINAGE;DISQUE;95520;OSNY;04/05/2015;-54.40;50
8;V00572;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;95650;PUISEUX PONTOISE;11/07/2017;6.45;23.26
5;V00411;DIVERS;DIVERS 0;;;26/05/2017;-0.46;156.52
5;V00352;FREINAGE;PLAQUETTE;95450;SAGY;23/11/2017;54.30;51.66
8;V00968;FILTRATION;FILTRE A AIR;95310;ST OUEN L AUMONE;13/10/2017;9.64;27.70
7;V01162;ECHAPPEMENT;ACCESSOIRES DE MONTAGE;95300;HEROUVILLE;06/12/2016;-1.35;60.74
5;V00513;FREINAGE;PLAQUETTE;95;;16/02/2015;33.67;42
1;V00636;FILTRATION;FILTRE A CARBURANT;95310;ST OUEN L AUMONE;21/05/2015;45.91;25.66
7;V00676;FILTRATION;FILTRE A HUILE;95520;OSNY;21/04/2015;6.39;25.67
1;V00253;LIQUIDE;HUILE DE BOITE;95310;SAINT-OUEN L'AUMONE;27/03/2017;23.67;37.90
1;V00358;ENTRAINEMENT;GALET, POULIE, DAMPER;;;18/10/2016;33.59;38.34
7;V00464;LIQUIDE;DIVERS LIQUIDES;95301;PONTOISE;20/11/2015;309.92;29.53
1;V00330;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;95015;CERGY PONTOISE;06/01/2016;63.53;35.16
5;V00431;FILTRATION;FILTRE A CARBURANT;;;04/04/2016;-19.22;25.65
2;V00769;VITRAGE;DIVERS VITRAGE 0;92240;MALAKOFF;20/04/2017;34.17;76.47
7;V01271;FILTRATION;FILTRE A AIR;95520;OSNY;12/07/2017;10.04;27.69
1;V00937;MOTEUR;SUPPORT MOTEUR;95310;ST OUEN L AUMONE;04/02/2016;21.33;26.16
7;V00951;ELECTRICITE;DIVERS ELECTRICITE 0;95000;CERGY;15/04/2015;3.78;28.57
1;V01122;EQUIPEMENT ATELIER;MATERIEL;95310;ST OUEN L AUMONE;03/10/2016;176;35
5;V00529;LIQUIDE;HUILE DE BOITE;95550;BESSANCOURT;26/01/2017;14.71;36.10
2;V00843;VITRAGE;RETROVISEUR, MIROIR;78260;ACHERES;12/01/2015;89.68;49.46
1;V01029;LIQUIDE;LAVE GLACE;95800;CERGY;12/09/2016;5.95;29.41
1;V00637;VITRAGE;ABRASIF, MASQUAGE;95370;MONTIGNY LES CORMEILLES;18/09/2015;0;0
2;V01065;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;78630;ORGEVAL;09/06/2015;286.86;27.94
5;V00411;DIVERS;DIVERS 0;;;21/11/2016;32.50;38.46
1;V00636;FREINAGE;DISQUE;95310;ST OUEN L AUMONE;04/11/2015;34.80;50
8;V00689;FILTRATION;FILTRE A HUILE;;;22/05/2017;7.14;9.10
7;V00641;DIVERS;BAGUE, JOINT;95650;BOISSY L AILLERIE;17/12/2015;15.56;35.80
7;V00464;FILTRATION;FILTRE A HUILE;95301;PONTOISE;18/07/2017;6.18;29.61
7;V01117;FILTRATION;FILTRE A HUILE;95450;SAGY;19/12/2016;8.98;25.72
1;V00302;18;;95800;CERGY ST.CHRISTOPHE;06/03/2015;231.54;34.75
8;V00572;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;95650;PUISEUX PONTOISE;20/10/2016;69.18;14.50
8;V00166;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;95650;PUISEUX PONTOISE;03/11/2015;99.06;34.61
7;V01140;ELECTRICITE;BOUGIE DE PRECHAUFFAGE;94410;SAINT-MAURICE;29/11/2017;43;28
7;V00739;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95000;CERGY;22/08/2017;19.18;31.91
8;V00968;FILTRATION;FILTRE A CARBURANT;95310;ST OUEN L AUMONE;12/07/2017;-37.42;26.54
5;V00513;27;;95;;06/03/2015;9.45;33.33
2;V00885;VITRAGE;PARE BRISE, LUNETTE;78500;SARTROUVILLE;06/02/2015;37.78;42.01
1;V01114;ENTRAINEMENT;POMPE A EAU;95520;OSNY;16/02/2016;63.51;43.08
5;V00419;ELECTRICITE;BATTERIE;95304;CERGY PONTOISE CEDEX;17/05/2016;72.09;43.33
8;V00166;EMBRAYAGE;KIT EMBRAYAGE;95650;PUISEUX PONTOISE;09/02/2015;126.59;27.27
8;V00968;FREINAGE;DISQUE AVEC ROULEMENT;95310;ST OUEN L AUMONE;20/09/2017;123.60;31.67
2;V00763;VITRAGE;ABRASIF, MASQUAGE;92500;RUEIL MALMAISON;02/12/2015;46.88;62.95
5;V00411;ELECTRICITE;CAPTEURS, SONDES;;;16/12/2015;-13.04;32.59
8;V00166;FILTRATION;FILTRE A HUILE;95650;PUISEUX PONTOISE;18/05/2017;15.71;25.40
1;V00179;ECHAPPEMENT;TUBE, SILENCIEUX;78700;CONFLANS ST HONORINE;27/11/2017;61.15;48.85
1;V00633;VITRAGE;ABRASIF, MASQUAGE;95150;TAVERNY;06/05/2015;49.07;47.73
8;V00166;ELECTRICITE;BOBINE;95650;PUISEUX PONTOISE;11/09/2015;71.50;29.09
5;V00411;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;;;24/11/2017;127.96;30.91
5;V01010;ENTRAINEMENT;COURROIES;95800;COURDIMANCHE;19/12/2015;11.98;39.98
5;V00411;ELECTRICITE;BOBINE;;;23/11/2016;42.25;28.33
1;V01138;FREINAGE;PLAQUETTE;95540;MERY SUR OISE;04/03/2016;22;42
5;V00411;ELECTRICITE;BATTERIE;;;04/10/2017;410.67;37.58
5;V00411;FILTRATION;FILTRE A HUILE;;;09/06/2017;63.44;34.91
8;V00166;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;95650;PUISEUX PONTOISE;09/02/2016;10.50;18.10
5;V01105;ENTRAINEMENT;GALET, POULIE, DAMPER;.;.;08/01/2016;28.66;29.10
5;V00529;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;95550;BESSANCOURT;22/06/2015;7.34;32.02
6;V00752;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95450;VIGNY;04/09/2015;50.28;51.65
8;V00572;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;95650;PUISEUX PONTOISE;09/11/2016;14.40;12.50
5;V00411;PNEUS;PNEUS;;;16/12/2017;133;17.14
8;V00166;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;95650;PUISEUX PONTOISE;16/06/2015;147.81;34.61
6;V00228;ECLAIRAGE;LAMPE, AMPOULE, AMPOULE PHARE;95300;ENNERY;22/12/2017;28.08;59.76
1;V00177;EQUIPEMENT ATELIER;OUTILLAGE;95280;JOUY LE MOUTIER;26/09/2016;6.48;29.48
1;V00638;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95840;VILLIERS ADAM;15/04/2015;26.40;51.67
1;V00178;DIVERS;DIVERS 0;95280;JOUY LE MOUTIER;03/10/2017;473.88;62.02
8;V00968;FREINAGE;TEMOIN D'USURE;95310;ST OUEN L AUMONE;19/05/2017;10.14;50
5;V00411;FILTRATION;FILTRE A AIR;;;15/05/2017;62.33;37.53
8;V00166;ELECTRICITE;BOUGIE D'ALLUMAGE;95650;PUISEUX PONTOISE;14/03/2017;14.40;26.11
7;V00739;FILTRATION;FILTRE A HUILE;95000;CERGY;10/02/2016;6.21;21.74
1;V00074;FILTRATION;FILTRE HABITACLE;95250;BEAUCHAMP;23/02/2017;10.01;25.57
7;V00464;VITRAGE;RETROVISEUR, MIROIR;95301;PONTOISE;23/10/2017;27.89;33.67
7;V00739;FILTRATION;FILTRE A HUILE;95000;CERGY;14/03/2017;8.71;21.70
7;V00464;FILTRATION;FILTRE HABITACLE;95301;PONTOISE;13/04/2016;7.08;29.38
7;V00475;EQUIPEMENT ATELIER;OUTILLAGE;95038;VAUREAL;23/09/2015;0;0
5;V00419;ESSUYAGE;;95304;CERGY PONTOISE CEDEX;18/02/2015;25.44;31.68
1;V00636;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95310;ST OUEN L AUMONE;11/04/2016;31.20;51.67
5;V00411;DIVERS;DIVERS 0;;;06/04/2016;19.46;28.57
2;V01189;VITRAGE;DIVERS VITRAGE 0;95230;SOISY SOUS MONTMORENCY;28/03/2017;52.32;46.16
5;V01071;LIQUIDE;HUILE DE BOITE;95000;CERGY;08/03/2017;6.37;33.12
1;V01219;DIVERS;DIVERS 0;95310;ST OUEN L AUMONE;17/03/2017;145.55;33.33
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ADDITIF;;;23/12/2017;82.51;37.49
6;V00752;FILTRATION;FILTRE A CARBURANT;95450;VIGNY;18/12/2015;15.13;25.71
1;V00675;ECHAPPEMENT;ACCESSOIRES DE MONTAGE;95802;CERGY-PONTOISE CEDEX;28/08/2017;35.10;48.09
7;V00951;VITRAGE;DIVERS VITRAGE 0;95000;CERGY;09/09/2016;13.20;33.33
1;V00937;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;95310;ST OUEN L AUMONE;23/04/2015;18;52.22
8;V00968;FILTRATION;FILTRE A HUILE;95310;ST OUEN L AUMONE;21/06/2016;12.04;21.76
2;V01094;VITRAGE;DIVERS VITRAGE 0;95100;ARGENTEUIL;09/10/2015;67.08;42.49
7;V00695;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95450;CONDECOURT;13/10/2015;11.10;23.96
1;V01114;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;95520;OSNY;09/11/2015;3.91;46.29
8;V00166;FILTRATION;FILTRE A HUILE;95650;PUISEUX PONTOISE;27/11/2015;14.99;21.75
