7;V01162;VITRAGE;PARE BRISE, LUNETTE;95300;HEROUVILLE;12/09/2017;117.80;0
6;V00331;VITRAGE;PEINTURE, VERNIS, DURCISSEUR, PPS;95640;MARINES;20/11/2015;25.33;17.65
2;V00861;VITRAGE;DIVERS VITRAGE 0;93210;LA PLAINE ST DENIS;14/11/2017;252.82;28.76
7;V01042;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95450;US;05/05/2017;39.99;48.34
7;V00695;ECHAPPEMENT;ACCESSOIRES DE MONTAGE;95450;CONDECOURT;01/07/2016;30.27;46.25
7;V01044;LIQUIDE;HUILE MOTEUR;95480;PIERRELAYE;21/04/2016;-31.15;42.86
5;V01190;FILTRATION;FILTRE A AIR;95300;PONTOISE;26/01/2017;10.13;29.32
1;V00074;FREINAGE;PLAQUETTE;95250;BEAUCHAMP;04/10/2017;66.11;17.97
1;V00937;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95310;ST OUEN L AUMONE;27/09/2017;50.22;36.66
7;V01159;ELECTRICITE;LEVE VITRE;95310;ST OUEN L AUMONE;04/07/2016;89.11;38.81
5;V00411;FILTRATION;FILTRE A AIR;;;09/03/2016;89.73;37.43
5;V00411;FILTRATION;FILTRE A CARBURANT;;;10/10/2016;52.24;28.46
5;V00411;FILTRATION;FILTRE A HUILE;;;09/11/2016;41.68;27.83
8;V00166;FREINAGE;PLAQUETTE;95650;PUISEUX PONTOISE;15/06/2015;45.20;27.50
7;V01107;FILTRATION;FILTRE A CARBURANT;95520;OSNY;29/07/2015;9.81;25.69
5;V00411;ELECTRICITE;BOUGIE DE PRECHAUFFAGE;;;06/10/2016;68.16;35.30
7;V00739;FREINAGE;PLAQUETTE;95000;CERGY;10/06/2015;56.79;37.49
7;V00460;LIQUIDE;HUILE MOTEUR;95000;CERGY;31/05/2016;173.96;37.89
7;V00740;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;95300;ENNERY;12/05/2015;146.94;34.48
2;V01185;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;92700;COLOMBES;13/12/2016;30;32
6;V00331;FILTRATION;FILTRE A HUILE;95640;MARINES;22/05/2017;5.30;29.62
1;V01191;THERMIQUE;PIECE DE CLIMATISATION;95000;CERGY;10/07/2017;11.69;20.02
1;V01134;FILTRATION;FILTRE A CARBURANT;95650;PUISEUX PONTOISE;04/07/2016;70.70;25.66
8;V00968;FILTRATION;FILTRE A HUILE;95310;ST OUEN L AUMONE;18/03/2015;4.95;25.66
1;V00074;ENTRAINEMENT;COURROIES;95250;BEAUCHAMP;10/07/2015;4.80;50
5;V00458;FILTRATION;FILTRE HABITACLE;;;05/10/2015;14.95;29.36
7;V00739;FREINAGE;DISQUE;95000;CERGY;11/05/2015;27.84;37.50
1;V00253;ENTRAINEMENT;ALTERNATEUR;95310;SAINT-OUEN L'AUMONE;15/06/2017;235.20;46.67
7;V00739;EMBRAYAGE;DIVERS EMBRAYAGE 0;95000;CERGY;05/07/2016;3.85;32.73
8;V00968;ECHAPPEMENT;TUBE, SILENCIEUX;95310;ST OUEN L AUMONE;16/03/2016;105.98;38.67
7;V00676;ELECTRICITE;LEVE VITRE;95520;OSNY;20/10/2017;75.58;38.81
6;V00979;ELECTRICITE;BATTERIE;95450;VIGNY;04/07/2016;123.99;49.47
7;V00749;DIRECTION, SUSPENSION, TRANSMISSION;AMORTISSEUR;78570;CHANTELOUP LES VIGNES;15/10/2015;172.62;20
7;V01044;COMPTABILITE;CONSIGNE;95480;PIERRELAYE;04/02/2016;300;80
5;V00411;ELECTRICITE;BOBINE;;;13/12/2016;70.68;28.34
1;V01168;VITRAGE;DIVERS VITRAGE 0;60230;CHAMBLY;13/10/2016;40.53;54.72
7;V00739;ELECTRICITE;CAPTEURS, SONDES;95000;CERGY;09/09/2015;4.08;53.68
2;V00844;VITRAGE;DIVERS VITRAGE 0;95540;MERY-SUR-OISE;03/10/2016;330.93;46.51
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;;;19/01/2015;15;42.67
8;V00968;ENTRAINEMENT;DEMARREUR;95310;ST OUEN L AUMONE;06/12/2017;139.14;34.48
1;V00937;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95310;ST OUEN L AUMONE;19/06/2017;35.76;36.66
7;V00739;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95000;CERGY;27/05/2016;22.96;47.26
2;V01094;VITRAGE;DIVERS VITRAGE 0;95100;ARGENTEUIL;14/12/2015;259.15;34.51
6;V00752;EMBRAYAGE;HYDRAULIQUE,  EMETTEUR, RECEPTEUR, BUTEE;95450;VIGNY;04/06/2015;22.12;35.71
5;V00411;FREINAGE;MACHOIRE DE FREIN;;;14/01/2016;52.42;38.19
7;V00659;29;;95810;EPIAIS RHUS;20/02/2015;96.50;43.48
5;V00431;EQUIPEMENT ATELIER;MATERIEL;;;06/11/2017;13.55;31.66
5;V00411;LIQUIDE;HUILE MOTEUR;;;30/04/2015;48.62;33.11
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;;;05/05/2015;18;52.22
5;V00411;ELECTRICITE;RELAIS, FUSIBLE, FAISCEAU, CONTACTEUR;;;22/11/2016;12.42;34.94
1;V01191;FREINAGE;DISQUE;95000;CERGY;25/08/2017;110;36
6;V00752;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;95450;VIGNY;21/07/2015;168.09;41.54
7;V00676;FREINAGE;PLAQUETTE;95520;OSNY;13/10/2016;34.08;32.63
1;V01191;ENTRAINEMENT;COURROIES;95000;CERGY;12/06/2017;9.98;39.98
6;V00228;EQUIPEMENT ATELIER;CONSOMABLE;95300;ENNERY;12/04/2016;32.60;42.85
7;V00676;FREINAGE;PLAQUETTE;95520;OSNY;17/09/2015;29.98;47.36
7;V01044;EMBRAYAGE;HYDRAULIQUE,  EMETTEUR, RECEPTEUR, BUTEE;95480;PIERRELAYE;05/11/2015;99.89;25.72
6;V00331;FILTRATION;FILTRE A HUILE;95640;MARINES;28/10/2016;3.91;25.83
1;V01144;FREINAGE;TEMOIN D'USURE;75017;PARIS 17EME ARRONDISSEMENT;30/01/2017;410.76;55.72
7;V00740;LIQUIDE;HUILE MOTEUR;95300;ENNERY;18/05/2016;46.53;37.89
6;V00228;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95300;ENNERY;24/01/2017;50.88;36.67
5;V00411;ECLAIRAGE;LAMPE, AMPOULE, AMPOULE PHARE;;;16/01/2017;18.35;57.66
8;V00166;FREINAGE;PLAQUETTE;95650;PUISEUX PONTOISE;29/09/2015;120.34;27.49
1;V00178;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;95280;JOUY LE MOUTIER;13/01/2015;89.28;40.05
5;V01095;DIVERS;DIVERS 0;95000;CERGY;16/11/2015;298.35;11.06
7;V00659;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95810;EPIAIS RHUS;01/04/2015;38.64;51.66
5;V00411;DIVERS;CABLE;;;28/05/2015;15.60;35
7;V00739;FILTRATION;FILTRE A AIR;95000;CERGY;30/10/2017;11.23;27.69
1;V00638;29;;95840;VILLIERS ADAM;16/04/2015;89.40;57.72
