1;V00043;FILTRATION;FILTRE A HUILE;95150;TAVERNY;28/09/2017;25.34;29.56
5;V01105;FILTRATION;FILTRE HABITACLE;.;.;09/11/2016;0;0
7;V01162;FREINAGE;DISQUE AVEC ROULEMENT;95300;HEROUVILLE;19/07/2016;132;35
6;V00289;ENTRAINEMENT;COURROIES;;;14/02/2015;16.40;45.49
5;V00424;ENTRAINEMENT;COURROIES;;;08/04/2015;15.30;50
8;V00166;FREINAGE;PLAQUETTE;95650;PUISEUX PONTOISE;19/04/2016;18;27.50
1;V01122;EQUIPEMENT ATELIER;CONSOMABLE;95310;ST OUEN L AUMONE;16/12/2016;32.47;34.34
6;V00752;FILTRATION;FILTRE A CARBURANT;95450;VIGNY;23/09/2015;22.24;25.67
1;V00937;40;;95310;ST OUEN L AUMONE;27/02/2015;-30.49;0
7;V00740;FREINAGE;DISQUE;95300;ENNERY;16/04/2016;33.06;47.37
7;V00695;FILTRATION;FILTRE A CARBURANT;95450;CONDECOURT;24/03/2016;28.87;21.75
2;V00775;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;92140;CLAMART;19/03/2015;37.27;50.01
5;V00431;ENTRAINEMENT;GALET, POULIE, DAMPER;;;16/06/2016;151.11;37.16
1;V01029;ELECTRICITE;CAPTEURS, SONDES;95800;CERGY;27/02/2017;45.50;46.99
1;V00255;ECHAPPEMENT;ACCESSOIRES DE MONTAGE;95150;TAVERNY;19/05/2016;0;0
7;V00695;EQUIPEMENT ATELIER;OUTILLAGE;95450;CONDECOURT;19/01/2016;28.79;35.98
6;V00752;18;;95450;VIGNY;12/03/2015;50.39;31.77
8;V00166;DIRECTION, SUSPENSION, TRANSMISSION;VERIN DE HAYON;95650;PUISEUX PONTOISE;26/12/2016;79.90;25.37
8;V00290;DIVERS;DIVERS 0;92238;GENNEVILLIERS;06/10/2015;358.55;100
2;V01065;DIVERS;BAGUE, JOINT;78630;ORGEVAL;21/10/2015;7.09;35.83
1;V00074;FILTRATION;FILTRE HABITACLE;95250;BEAUCHAMP;08/02/2016;7.73;29.37
8;V00968;FILTRATION;FILTRE HABITACLE;95310;ST OUEN L AUMONE;18/05/2015;9.41;25.72
2;V00800;VITRAGE;RETROVISEUR, MIROIR;78360;MONTESSON;19/01/2015;40.89;51.21
7;V00740;VITRAGE;DIVERS VITRAGE 0;95300;ENNERY;17/10/2017;12.12;33.58
1;V00330;EMBRAYAGE;KIT EMBRAYAGE;95015;CERGY PONTOISE;05/04/2016;165.17;38.34
5;V00411;LIQUIDE;LAVE GLACE;;;12/08/2015;9.70;41.24
5;V00411;ELECTRICITE;BATTERIE;;;27/05/2016;88.52;43.33
5;V00411;FILTRATION;FILTRE HABITACLE;;;23/07/2016;53.79;36.29
7;V01164;FILTRATION;FILTRE A CARBURANT;95650;BOISSY L AILLERIE;14/03/2017;11.87;37.99
1;V01122;ELECTRICITE;CAPTEURS, SONDES;95310;ST OUEN L AUMONE;31/01/2017;49.20;53.62
1;V01144;FREINAGE;TEMOIN D'USURE;75017;PARIS 17EME ARRONDISSEMENT;22/10/2016;33.60;54.29
2;V00823;VITRAGE;DIVERS VITRAGE 0;78800;HOUILLES;07/07/2015;115.53;57.51
1;V00177;EQUIPEMENT ATELIER;OUTILLAGE;95280;JOUY LE MOUTIER;07/04/2015;8.67;37.49
8;V00166;MOTEUR;;95650;PUISEUX PONTOISE;23/01/2015;86.69;40.06
1;V00675;DIVERS;BAGUE, JOINT;95802;CERGY-PONTOISE CEDEX;17/06/2016;20.02;35.81
1;V01122;EQUIPEMENT ATELIER;MATERIEL;95310;ST OUEN L AUMONE;31/03/2016;177.65;51.02
1;V01029;FILTRATION;FILTRE A CARBURANT;95800;CERGY;17/03/2016;26.69;25.67
1;V00937;VITRAGE;DIVERS VITRAGE 0;95310;ST OUEN L AUMONE;05/11/2015;48.32;33.86
7;V00897;LIQUIDE;HUILE MOTEUR;95300;PONTOISE;11/07/2015;48.83;45.65
7;V01044;FILTRATION;FILTRE A HUILE;95480;PIERRELAYE;10/02/2016;18.47;21.71
5;V00411;EMBRAYAGE;HYDRAULIQUE,  EMETTEUR, RECEPTEUR, BUTEE;;;01/03/2017;170.71;21.04
8;V01009;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;78130;LES MUREAUX;06/10/2017;135;7.41
8;V01009;FILTRATION;FILTRE A HUILE;78130;LES MUREAUX;25/11/2016;17.09;21.71
6;V00331;ENTRAINEMENT;GALET, POULIE, DAMPER;95640;MARINES;02/10/2017;27.50;27.49
5;V01105;ENTRAINEMENT;KIT DE DISTRIBUTION, ACCESSOIRES;.;.;13/07/2017;63.48;24.01
5;V00411;MOTEUR;SUPPORT MOTEUR;;;04/05/2015;22.05;31.43
7;V00739;COMPTABILITE;CONSIGNE;95000;CERGY;16/06/2015;50;0
7;V00739;FILTRATION;FILTRE A AIR;95000;CERGY;15/01/2015;7.87;29.35
7;V00740;FILTRATION;FILTRE A CARBURANT;95300;ENNERY;28/01/2016;-37.82;21.76
2;V01185;EQUIPEMENT ATELIER;OUTILLAGE;92700;COLOMBES;23/02/2017;22.90;40
5;V00411;27;;;;08/04/2015;100.56;35.48
6;V00331;FREINAGE;DISQUE;95640;MARINES;26/06/2017;125.20;36
5;V00411;ENTRAINEMENT;GALET, POULIE, DAMPER;;;24/11/2017;72.22;29.02
8;V00166;FREINAGE;PLAQUETTE;95650;PUISEUX PONTOISE;11/02/2017;36;27.50
8;V00968;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;95310;ST OUEN L AUMONE;27/07/2017;128.12;30.91
5;V00424;FILTRATION;FILTRE A AIR;;;20/07/2017;9.86;31.34
1;V00633;FILTRATION;FILTRE HABITACLE;95150;TAVERNY;12/01/2017;9.31;29.43
1;V01201;LIQUIDE;HUILE MOTEUR;95520;OSNY;07/12/2017;18.50;20.16
7;V00464;FILTRATION;FILTRE A HUILE;95301;PONTOISE;24/11/2017;6.62;29.61
7;V01044;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;95480;PIERRELAYE;06/02/2015;16.43;45.65
5;V00411;FILTRATION;FILTRE A CARBURANT;;;14/02/2015;11.46;38.05
7;V00676;LIQUIDE;HUILE DE BOITE;95520;OSNY;23/11/2015;12.68;42.03
2;V00778;VITRAGE;DIVERS VITRAGE 0;78370;PLAISIR;19/09/2016;52.44;35.41
7;V00676;FREINAGE;PLAQUETTE;95520;OSNY;23/09/2016;21.02;47.38
8;V00166;FILTRATION;FILTRE A HUILE;95650;PUISEUX PONTOISE;27/10/2016;16.58;21.77
