5;V00411;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;;;16/08/2016;96.67;32.38
5;V00411;ELECTRICITE;BATTERIE;;;09/11/2016;108.45;43.34
5;V01105;ECHAPPEMENT;TUBE, SILENCIEUX;.;.;19/09/2016;36.38;38.68
1;V00716;VITRAGE;PEINTURE, VERNIS, DURCISSEUR, PPS;95480;PIERRELAYE;20/07/2016;106.86;52.18
8;V00968;FILTRATION;FILTRE A HUILE;95310;ST OUEN L AUMONE;07/03/2016;21.34;21.79
1;V01114;ENTRAINEMENT;COURROIES;95520;OSNY;30/09/2015;16.86;50
5;V00411;LIQUIDE;LIQUIDE DE FREIN;;;09/07/2015;4.60;78.26
5;V00411;EQUIPEMENT ATELIER;CONSOMABLE;;;15/07/2016;26.30;43.84
1;V01266;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;95310;ST OUEN L AUMONE;15/07/2017;9;52.22
1;V01168;FREINAGE;PLAQUETTE;60230;CHAMBLY;03/08/2017;53.50;42
1;V00633;ELECTRICITE;BOUGIE D'ALLUMAGE;95150;TAVERNY;13/12/2016;10.92;36.63
8;V00166;FREINAGE;PLAQUETTE;95650;PUISEUX PONTOISE;23/12/2016;18;27.50
8;V00968;FREINAGE;PLAQUETTE;95310;ST OUEN L AUMONE;08/01/2015;102.11;27.50
1;V00992;VITRAGE;PEINTURE, VERNIS, DURCISSEUR, PPS;95220;HERBLAY;01/09/2015;186.05;35.82
5;V00411;FREINAGE;DISQUE;;;24/11/2015;82;27.50
7;V00464;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;95301;PONTOISE;28/10/2015;17.70;36.67
8;V01009;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;78130;LES MUREAUX;27/01/2016;15.98;14.89
5;V00413;FILTRATION;FILTRE HABITACLE;95610;ERAGNY;09/02/2015;14.89;45.67
5;V00411;ELECTRICITE;BATTERIE;;;22/11/2016;60.08;32.01
5;V00411;ECLAIRAGE;PHARE XENON, LED;;;03/08/2017;81;26.67
8;V00687;FREINAGE;DISQUE;;;28/04/2017;32.54;9.10
5;V00559;LIQUIDE;HUILE MOTEUR;60119;HENONVILLE;24/05/2016;57.49;37.88
8;V00689;ELECTRICITE;BOUGIE D'ALLUMAGE;;;12/05/2016;2.08;9.13
7;V00676;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95520;OSNY;21/04/2016;149.61;44.35
1;V01201;LIQUIDE;HUILE MOTEUR;95520;OSNY;03/07/2017;38.50;19.95
8;V00968;EMBRAYAGE;VOLANT MOTEUR,  BIMASSE;95310;ST OUEN L AUMONE;16/08/2017;475.70;20
8;V01009;COMPTABILITE;CONSIGNE;78130;LES MUREAUX;31/05/2017;100;0
6;V00289;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;;;17/02/2017;90.18;24.01
